device,compute_capability,N,H,dtype,impl,latency_us,bandwidth_gbps
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,1024,float16,eager,31.949,131.28
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,1024,float16,cuda,31.13,134.74
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,1024,float16,triton,60.611,69.2
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,2048,4096,float16,eager,295.711,113.47
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,2048,4096,float16,cuda,206.633,162.39
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,2048,4096,float16,triton,206.377,162.59
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,4096,4096,float16,eager,585.032,114.71
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,4096,4096,float16,cuda,405.166,165.63
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,4096,4096,float16,triton,403.507,166.31
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,8192,4096,float16,eager,1173.934,114.33
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,8192,4096,float16,cuda,806.943,166.33
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,8192,4096,float16,triton,802.847,167.18
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,8192,float16,eager,303.892,110.42
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,8192,float16,cuda,205.107,163.59
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,8192,float16,triton,203.162,165.16
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,1024,bfloat16,eager,65.126,64.4
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,1024,bfloat16,cuda,28.559,146.86
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,1024,bfloat16,triton,61.051,68.7
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,2048,4096,bfloat16,eager,292.372,114.77
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,2048,4096,bfloat16,cuda,203.469,164.91
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,2048,4096,bfloat16,triton,203.192,165.14
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,4096,4096,bfloat16,eager,584.417,114.83
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,4096,4096,bfloat16,cuda,403.507,166.31
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,4096,4096,bfloat16,triton,403.354,166.38
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,8192,4096,bfloat16,eager,1174.2,114.31
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,8192,4096,bfloat16,cuda,802.017,167.35
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,8192,4096,bfloat16,triton,802.406,167.27
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,8192,bfloat16,eager,303.503,110.56
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,8192,bfloat16,cuda,204.687,163.93
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,8192,bfloat16,triton,203.141,165.18
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,1024,float32,eager,68.669,122.16
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,1024,float32,cuda,54.047,155.21
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,1024,float32,triton,58.102,144.38
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,2048,4096,float32,eager,599.798,111.89
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,2048,4096,float32,cuda,404.623,165.86
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,2048,4096,float32,triton,402.924,166.55
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,4096,4096,float32,eager,1192.765,112.53
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,4096,4096,float32,cuda,804.413,166.85
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,4096,4096,float32,triton,803.226,167.1
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,8192,4096,float32,eager,2380.862,112.75
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,8192,4096,float32,cuda,1621.965,165.5
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,8192,4096,float32,triton,1599.59,167.82
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,8192,float32,eager,603.822,111.14
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,8192,float32,cuda,405.729,165.4
NVIDIA GeForce RTX 3050 Laptop GPU,sm_86,1024,8192,float32,triton,402.79,166.61
